@relation ACM_Classifier

@attribute name string
@attribute occurrence numeric
@attribute category {Applied_computing,Computer_systems_organization,Computing_and_methodologies,Data,General_and_reference,Hardware,Information_systems,Mathematics_of_computing,Social_and_professional_topics,Software_and_its_engineering,Theory_of_computation}

@data
rpu,4,Applied_computing
merg,1,Applied_computing
synthesi,1,Applied_computing
inform,2,Applied_computing
pt,1,Applied_computing
hyperblock,3,Applied_computing
urabl,1,Applied_computing
compon,2,Applied_computing
contigu,1,Applied_computing
decad,1,Applied_computing
concurr,2,Applied_computing
fachhochschul,1,Applied_computing
technol,1,Applied_computing
gener,4,Applied_computing
postfach,1,Applied_computing
ebel,1,Applied_computing
demand,1,Applied_computing
processor,3,Applied_computing
accept,1,Applied_computing
node,1,Applied_computing
input,2,Applied_computing
re,3,Applied_computing
includ,1,Applied_computing
architectur,9,Applied_computing
programm,8,Applied_computing
penn,1,Applied_computing
access,2,Applied_computing
stiel,1,Applied_computing
butterfli,1,Applied_computing
jmpc,1,Applied_computing
tightli,1,Applied_computing
languag,3,Applied_computing
porto,3,Applied_computing
current,1,Applied_computing
vliw,1,Applied_computing
vendor,1,Applied_computing
larg,2,Applied_computing
mit,1,Applied_computing
where,1,Applied_computing
acceler,2,Applied_computing
anoth,1,Applied_computing
advantag,2,Applied_computing
devic,1,Applied_computing
osnabru,2,Applied_computing
art,1,Applied_computing
intern,1,Applied_computing
bandwidth,1,Applied_computing
dept,1,Applied_computing
call,1,Applied_computing
te,1,Applied_computing
such,5,Applied_computing
wilson,1,Applied_computing
metric,1,Applied_computing
oper,4,Applied_computing
bitstream,1,Applied_computing
rua,2,Applied_computing
strength,1,Applied_computing
rosen,1,Applied_computing
rapid,1,Applied_computing
research,7,Applied_computing
redistribut,1,Applied_computing
structur,7,Applied_computing
loop,4,Applied_computing
synopsi,1,Applied_computing
segment,2,Applied_computing
california,1,Applied_computing
up,1,Applied_computing
written,1,Applied_computing
us,18,Applied_computing
evalu,1,Applied_computing
given,1,Applied_computing
adapt,2,Applied_computing
roberto,1,Applied_computing
develop,6,Applied_computing
coprocessor,1,Applied_computing
repres,2,Applied_computing
shirazi,1,Applied_computing
extract,1,Applied_computing
page,1,Applied_computing
region,2,Applied_computing
support,2,Applied_computing
full,1,Applied_computing
conflict,1,Applied_computing
allow,1,Applied_computing
proprietari,1,Applied_computing
reli,2,Applied_computing
acycl,1,Applied_computing
idea,1,Applied_computing
commerci,2,Applied_computing
diniz,4,Applied_computing
show,1,Applied_computing
suif,1,Applied_computing
effort,3,Applied_computing
speed,1,Applied_computing
comput,21,Applied_computing
common,1,Applied_computing
fria,1,Applied_computing
napa,3,Applied_computing
precis,1,Applied_computing
previous,1,Applied_computing
associ,1,Applied_computing
distribut,2,Applied_computing
yet,1,Applied_computing
target,2,Applied_computing
stone,2,Applied_computing
superior,1,Applied_computing
risc,1,Applied_computing
base,2,Applied_computing
microprocessor,2,Applied_computing
sourc,2,Applied_computing
arithmet,1,Applied_computing
program,8,Applied_computing
type,1,Applied_computing
ye,1,Applied_computing
tectur,2,Applied_computing
techniqu,3,Applied_computing
sequenc,3,Applied_computing
